"X__gid","cod","tipo","cveigecem","nom_mun","deleg","cveinegi","nom_reg","num_reg","uso","tipologia","valm2","distrito_centro","area","distrito1_nombre","distrito1_puntos","distrito2_nombre","distrito2_puntos","distrito3_nombre","distrito3_puntos","distrito4_nombre","distrito4_puntos","distrito5_nombre","distrito5_puntos"
1826,"100","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"159",952501.509099159,"157",4,"159",83,"160",13,"0",0,"0",0
1840,"161","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"173",8736029.15847033,"159",20,"160",2,"161",8,"173",70,"0",0
1841,"038","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"159",1886728.61624073,"158",21,"159",75,"173",4,"0",0,"0",0
1842,"109","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"162",143921.334423951,"158",2,"162",98,"0",0,"0",0,"0",0
1843,"060","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"158",498498.219446611,"158",62,"162",38,"0",0,"0",0,"0",0
1844,"169","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"147",35180.1889041513,"147",100,"0",0,"0",0,"0",0,"0",0
1858,"098","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"168",2998947.2554921,"163",3,"167",3,"168",94,"0",0,"0",0
1860,"020","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"148",6037517.82683921,"147",36,"148",41,"149",3,"158",20,"0",0
1861,"173","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"147",172124.507442787,"147",100,"0",0,"0",0,"0",0,"0",0
1862,"181","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"146",34090.3086434379,"146",100,"0",0,"0",0,"0",0,"0",0
1863,"172","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"169",32833.9774680883,"168",21,"169",79,"0",0,"0",0,"0",0
1864,"158","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"146",63395.5112202363,"146",96,"147",4,"0",0,"0",0,"0",0
1865,"137","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"146",148690.248154017,"146",68,"147",32,"0",0,"0",0,"0",0
1901,"019","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"160",394492.925789624,"156",1,"157",10,"160",89,"0",0,"0",0
1902,"114","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"160",113110.369984161,"157",14,"160",86,"0",0,"0",0,"0",0
1866,"094","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"163",3175198.55334222,"162",6,"163",38,"168",56,"0",0,"0",0
